major_axis_length,area,is_cammeo
0.2217891002,0.4140416832,1
-1.337767629,-0.9193934714,0
-1.271277121,-1.425637034,0
-0.5564803228,-0.1972604072,0
-0.9217439333,-0.7133171293,0
-0.219094751,-0.3000099559,0
-1.283555036,-1.138169196,0
1.451717907,1.135020258,1
-1.035578748,-0.643470526,0
0.9606590075,1.362454652,1
-1.005482115,-0.5343712861,0
-0.05833451285,-0.4096864405,1
-1.345658201,-0.9193934714,0
1.338736599,0.6662975977,1
1.423371138,1.745167859,1
0.5587164364,0.7742423483,0
1.474641929,1.674744011,1
0.9725722583,0.704395745,1
0.006713952883,0.3476585478,0
-1.821990598,-2.076769006,0
0.2511214249,-0.1349179843,1
-1.987550941,-1.686551619,0
2.106656369,2.681458691,1
-1.642435705,-1.061395657,0
-0.08487807169,-0.1447311435,1
-1.028547805,-0.6255759417,0
0.1310671986,0.4307817782,0
-0.876285039,-0.5135904785,0
-0.08967817693,0.1664037259,0
-0.4877720938,0.09771161189,0
0.1780223545,-0.5130132338,0
1.044656914,0.6651431084,1
2.369985298,2.378405246,1
0.288818298,-0.0287049677,1
-1.01256028,-0.8593600272,0
-0.6487448343,-0.7560332339,0
-1.255090211,-0.8553193146,0
0.02688506375,0.5860605906,0
1.086958005,0.5785564101,1
1.844550859,2.704548477,1
-0.765205759,-0.7981720937,0
0.5375623927,0.09944334586,1
0.5442487845,0.4717661488,1
0.5771009532,0.5502714219,1
0.4784797346,0.2882023483,1
1.294847424,1.253355413,1
-0.9706107362,-0.9724999797,0
-0.7788251503,-0.9014988871,0
-0.3820928228,0.2431772651,0
-0.5442330147,-0.100283305,0
-0.9986837875,-1.069477082,0
0.6267040812,0.3545854837,1
-0.2982059772,-0.1331862504,0
0.33871788,0.7222903293,1
0.1898534028,-0.4073774618,1
0.2716825607,0.7303717545,1
0.7986657309,0.9872456263,1
-0.3688057397,0.04518234822,0
-0.665332263,-0.9990532339,1
-0.7413967473,-0.01023313872,0
-0.6953370746,-0.1066329962,0
-0.6477033103,-1.528386583,0
-1.517570005,-1.780065253,0
-0.9029370353,-0.1799430675,0
0.6171099922,1.323202016,0
-0.7368231363,-1.38292093,0
-0.2495166969,-0.5066635426,0
1.881878695,2.157320543,1
-1.15400379,-0.6238442077,0
-1.486131021,-1.463735182,0
1.710555427,1.531010092,1
1.016324138,0.5716294742,1
-0.3503503888,-0.6734872481,0
-0.629893337,-0.8963036852,0
-0.985390583,-0.6775279607,0
-0.6458161492,-1.161836227,0
-0.2501760664,-0.8887995047,1
-0.164256019,0.1600540347,0
1.365269664,0.9422205431,1
-1.046707577,-1.297488721,0
-0.08003249268,0.3620896642,0
1.403873389,1.283949379,1
0.5340206863,0.702664011,1
2.480493533,2.746110092,1
0.3359159967,1.644727289,1
-1.693636536,-1.989605063,0
-1.122742328,-1.67673846,0
-0.423293799,-0.3427260604,0
-0.6318627006,-0.239399267,0
2.094527992,2.097864344,1
1.740648563,1.620483014,1
2.373388834,2.548115175,1
-1.070457997,-0.9846221175,0
-0.7189790577,-0.5690059654,0
0.5989869495,0.2766574551,1
1.04021885,0.8446661963,1
-1.374384501,-1.098339315,0
1.395626023,0.1952659587,1
0.2455587597,0.3516992604,1
0.9353589811,0.9768552225,1
0.2564488509,0.1115654836,1
-0.9494199637,-0.6671375569,0
-0.6966785506,-1.261122308,0
1.376739546,1.129825056,1
-1.013883392,-0.5285988395,0
-0.2368382626,-0.4108409298,1
0.01920961763,0.5035146048,1
1.83274692,1.896405959,1
-1.96377516,-1.872424398,0
1.205165297,0.706127479,1
-0.3182170554,-0.06045342377,0
-1.034629921,-1.012907106,0
-0.6648128127,-1.272667201,0
-0.7405808431,-0.1435766542,0
0.4948135596,0.3880656737,1
-1.514351862,-0.417190621,0
0.7811723249,1.3087709,1
-0.3220455963,-0.4298900034,0
-0.8616110062,-0.222659172,0
0.9730715952,0.6680293317,0
0.3863533933,0.1837210656,1
0.6660143983,0.5918330371,1
0.5207851985,-0.05410373255,0
0.9082356318,0.600491707,1
0.1338594624,-0.1822520461,1
-0.996783509,-1.38292093,0
0.2784747665,0.7401849137,1
1.658193266,2.086896695,1
-0.4942695946,-1.539931476,0
-0.5809976758,-0.5817053478,0
-1.465964282,-1.418132854,0
0.7473022436,0.1450456737,1
-0.351466245,0.1854527996,0
-1.043530535,-0.5707376994,0
-1.006038294,-0.3796697184,0
0.906788342,0.7927141773,1
1.245142855,0.9260576928,1
-1.026869649,-1.265740265,0
-1.01117508,-1.429100502,0
-0.6904294065,-0.4587522362,0
1.151991605,0.9283666714,1
-0.1859802337,-0.6781052053,1
0.9799634934,1.55929508,1
-1.176216847,-1.063127391,0
-1.332183102,-1.220137937,0
1.021422446,1.107312515,1
1.618419467,1.664353607,1
-1.67382047,-0.7000405023,0
0.6854212002,0.7072819683,1
